fact_checked_segment,comment_by_fact-checker,article,label_str_raw
"Renew­ables such as wind turbines are environmentally disastrous because they pollute a huge land area, slice and dice birds and bats, kill insects that are bird food, create health problems for humans who live within kilometres of them, leave toxins around the turbine site and despoil the landscape.","There is no comparison here with the alternatives. For example, the claimed wind turbine health damages, for which the author shows evidence of zero deaths, should be compared with the millions of deaths that the World Health Organisation links to pollution every year, much of which is from fossil fuels.",,False Analogy
"“Through decades of research, it has become clear that human civilization, roughly 6,000 years old, developed during an unusually stable period for global sea levels.”","The last 6,000 years have been unusually stable for the period of time that we are able to constrain rates of sea-level change particularly well (at sub-millennial timescales): see, for example, Lambeck et al (2014) Sea level and global ice volumes from the Last Glacial Maximum to the Holocene.",article34.txt,False Analogy
"“this event poses severe risks to health — particularly for children and the elderly […] an extreme 2003 heat wave that affected Paris and Europe, and which has indeed been connected to climate change through statistical attribution analysis […] killed hundreds of people in Paris and London, and a recent study attributed at least some of those deaths, themselves, to climate change.”",When the 2003 European heatwave occurred it killed 70 000 people. At the time the likelihood of that event occurring had doubled due to human influence. Now an event like this is 10 times more likely due to human influence. References: Stott et al (2004) Human contribution to the European heatwave of 2003. Nature. Christidis et al (2015) Dramatically increasing chance of extremely hot summers since the 2003 European heatwave. Nature Climate Change. Trigo et al (2005) How exceptional was the early August 2003 heatwave in France?. Geophysical Research Letters. ,,False Analogy
"“Healthy societies do not fall apart over slow, widely predicted, relatively small economic adjustments of the sort painted by climate analysis. Societies do fall apart from war, disease or chaos. Climate policy must compete with other long-term threats for always-scarce resources.”","To suggest that climate change does not bear (or has little bearing) upon war, disease, and chaos represents either an exceedingly narrow and optimistic view of available peer reviewed research on the influence of climate change on these outcomes or ignorance. The extraordinary threat that climate change already poses to national security was outlined by the U.S. Defense Department in 2015. Research on climate change and infectious disease risks suggests that it either directly (through changes in mosquito population distributions) or indirectly (through forcing mass migrations) will augment risks of pandemics.",article71.txt,False Analogy
"“Moreover, its warming impact decreases sharply after the first 20 or 30 ppm. Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red. A second coat of paint has much less of an effect, while adding a third or fourth coat has almost no impact at all.”","The effects of CO2 do not decrease sharply after the first 20 or 30 ppm. The radiative effects of CO2 are logarithmic, so they increase slightly less the higher CO2 gets but they don’t decrease sharply.",article52.txt,False Analogy
"“The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds”","The study doesn’t really say that. The PNAS study itself focused on 3 years (2012-2014) for which aircraft measurements were taken from April to November, and finds that Alaskan tundra was a source of carbon for 2 of these 3 years (2012 is a small sink). Then these flux estimates are compared to  data from CMIP5 models for those particular years. However,  the PNAS paper does not assess when these CMIP5 models become sources of CO2. One would need to see long time series of the CMIP5 models, along with longer time series of aircraft measurements and inferred carbon fluxes to estimate when each turn from sink to sources.",article61.txt,False Authority
"“Severe ‘snowmageddon’ winters are now strongly linked to soaring polar temperatures, say researchers, with deadly summer heatwaves and torrential floods also probably linked.”","“Strongly linked” is an overstatement here. There is some evidence, but I don’t think a majority of climate scientists would make claims as strong as these. ",,False Authority
"A new report has warned there’s an existential risk to humanity from the climate crisis within the coming decades, and a ‘high likelihood of human civilization coming to an end’ over the next three decades unless urgent action is taken.","The “report” is not a peer-reviewed scientific paper. It’s from some sort of “think tank” who can basically write what they like. The report itself misunderstands / misrepresents science, and does not provide traceable links to the science it is based on so it cannot easily be checked (although someone familiar with the literature can work it out, and hence see where the report’s conclusions are ramped-up from the original research).",,False Authority
“It has never been shown that human emissions of carbon dioxide drive global warming.”,"Virtually all statements in this article have been proven wrong so many times by scientific experts that it is unreasonable to once again show that they are wrong. But I want to focus on the statement “it has never been shown” only. How can one claim that the impact of anthropogenic greenhouse gas emissions has “never been shown that…”? Clearly, for this author, science per se either does not exist or else has no credibility whatsoever. Surely then, scientific research itself cannot exist, there is no geology to find coal resources, no studies “of natural processes such as ocean degassing”, etc. From this, one can only conclude that we actually cannot know anything—not even the things that this author believes to be true.",,False Authority
Yet other scientists claim this is a red herring because of the positive feedback loop created by water vapour.,"This entire article is a mess of false equivalency. It is not a case of “some scientists say this, while others say this”. There is the scientific consensus (the so-called 97%) and then there are a few fringe scientists such as Willie Soon who have been comprehensively proven to produce poor work riddled with errors.1 Benestad et al (2015) Learning from mistakes in climate research, Theoretical and Applied Climatology ",,False Authority
This is a critical error. Getting the tropical climate right is essential to understanding climate worldwide.,"This is only a critical error because they’re desperate to discredit the models. If the disagreement were in the polar regions, they’d be talking about how important it is to get the polar regions right. Obviously, you want to get everything right, but we live on the surface, so getting that right is the most important—and the models do that.",article130.txt,False Authority
“The peer-reviewed study by two scientists and a veteran statistician looked at the global average temperature datasets[…]”,As far as I can tell the linked report is not accepted for any journal and thus peer-reviewed is willfully misleading at best.,,False Authority
The noted oceanographer Walter Munk referred to sea-level rise as an “enigma”,"It is interesting that this opinion piece starts off with “Munk’s enigma”. This was introduced by famed oceanographer Walter Munk in a 2002 paper published in Proceedings of the National Academy of Sciences. The enigma refers to a key discrepancy between the amount of sea-level rise believed to have occurred during the 20th century and the effects it should have produced on the planet — specifically, on the Earth’s rotation. So in addition to all the devastating and obvious effects sea-level rise will produce on the planet, such as flooding and erosion, sea-level rise also has the more subtle, but nonetheless mind-boggling ability to alter the way the Earth rotates on its axis. In a recent paper, Jerry Mitrovica and an interdisciplinary team of colleagues claim to have resolved the enigma. They reinforce the awe-inspiring power of climate change to produce global-scale effects, changing the planet’s very rotation. I don’t understand the relevance of citing Walter Munk to support Singer’s argument.",,False Authority
“[Sea ice] also helps regulate the planet’s temperature by influencing the circulation of the atmosphere and ocean. It can affect weather in the U.S.”,There is currently no consensus in the scientific community about the magnitude of Arctic-lower-latitudes teleconnections compared to other teleconnections (e.g. from the tropics). This statement has to be taken with caution.,,False Authority
"The knock-on consequences affect national security, as the scale of the challenges involved, such as pandemic disease outbreaks, are overwhelming. Armed conflicts over resources may become a reality, and have the potential to escalate into nuclear war. In the worst case scenario, a scale of destruction the authors say is beyond their capacity to model, there is a ‘high likelihood of human civilization coming to an end’.","This is a highly questionable conclusion. The reference provided in the report is for the “Global Catastrophic Risks 2018” report from the “Global Challenges Foundation” and not peer-reviewed literature. (It is worth noting that this latter report also provides no peer-reviewed evidence to support this claim). Furthermore, if it is apparently beyond our capability to model these impacts, how can they assign a ‘high likelihood’ to this outcome? While it is true that warming of this magnitude would be catastrophic, making claims such as this without evidence serves only to undermine the trust the public will have in the science. Daniel Swain, Researcher, UCLA, and Research Fellow, National Center for Atmospheric Research: It seems that the eye-catching headline-level claims in the report stem almost entirely from these knock-on effects, which the authors themselves admit are “beyond their capacity to model.” Thus, from a scientific perspective, the purported “high likelihood of civilization coming to an end by 2050” is essentially personal speculation on the part of the report’s authors, rather than a clear conclusion drawn from rigorous assessment of the ",,False Authority
“enough credible projections have been done to put together a range of scenarios that researchers are confident about”,"Many projections have been done, but they may very well underestimate the true expected range of scenarios.",article56.txt,False Authority
"a study that totally debunks the whole concept of man-made Global Warming,",This study does no such thing. This is factually inaccurate.,article125.txt,False Authority
since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics. ,"These are not the “most reliable” observations. They have the largest issues with lack of independent data to check against, and different groups come up with temperature trends that are far more different than the surface temperature records.",article130.txt,False Authority
“ The discrepancy between model-predicted warming and (lower) real-world observations has inspired new respect for natural climate variability relative to greenhouse-gas forcing. ”,"Robert Bradley Jr. probably makes the typical mistake of equating the spread of individual model simulations within the ensemble spread with the model uncertainty. If climate models are used for decadal climate prediction, like Robert Bradley Jr. does here, the uncertainty is twice as large as the model spread. (more details and explanations) Natural variability has been studied by science since the beginning. That El Niño fluctuations can give the appearance of a “hiatus” is something scientists have warned about since the likes of Robert Bradley Jr. have started their “hiatus” meme, ignoring all those warnings. Without any need for statistical expertise, this can be seen in the plot below from the Texas State Climatologist. Source",,False Authority
in 1995 one scientist at the IPCC – Jonathan Overpeck – wrote an email to a colleague claiming ‘we have to get rid of the Medieval Warm Period.’,I challenge the author to find a source for this smear that satisfies journalistic standards.,,False Authority
"“The list of variables that shape climate […] would run to hundreds, if not thousands, of elements, none of which scientists would claim to understand with absolute precision.”","The basic argument in the remainder of the article is one of “complexity” and the notion that climatologists cannot perfectly understand thousands of variables, and hence the behavior of the system under investigation. Jacoby is not completely wrong—climate is extremely complex, and poses no shortage of interesting research questions. However, it is sometimes difficult for non-specialists to appreciate the emergent simplicity that can arise in an incredibly complex system. After all, how do we know summer will be warmer than winter, that the top of Mt. Everest is colder than the base, or that Arizona is expected to be on average drier than Florida, or that the equator ought to be hotter than New York, or that the climate will cool following a large volcanic eruption? These statements are not just based on prior observations, but in fact can be predicted by applying fundamental equations to a rotating planet. Part of the beauty in studying atmospheric science is in gaining an appreciation for where complexity is counterbalanced by an almost eerie predictability, much like how the outcome of a single spin in roulette is hopelessly unpredictable (and certainly influenced by every slight detail at the time the dealer releases the ball), but casinos have no problem with such complexity because the statistical behavior of the roulette wheel is well-posed. Similarly, the statistical behavior of the atmosphere, while unsolved, is not actually that complex. The appeal to complexity is a compelling one. Nonetheless, progress has been made in many complex sciences (astrophysics, geology) in which the system under investigation cannot be experimentally isolated, and yet where so much is known. However, it turns out to be incredibly simple to rule out El Niño, volcanic eruptions, soil quality, sunspot cycles, plate tectonics, etc. to the trend in global temperatures since 1950. Just as geologists can inform you of the glacial history of a region, sometimes with little more than a trained eye, CO2 leaves behind “fingerprints” in the atmospheric warming that other “forcing agents” do not. Another perhaps surprising component is that this result is not extremely sensitive to unknown variables. Suppose, for example, that the Andes Mountains were abruptly flattened. This would almost certainly affect important aspects of the global and regional climate, but many of the critical phenomena of the climate system (e.g. that the equator is wet where air rises, that storm tracks develop in the mid-latitudes, the presence of a jet stream, etc.) would still remain. Furthermore, adding CO2 to a “flat-Andes hypothetical Earth” would still result in warming. It’s physics, and it’s unavoidable. It is true that the exact magnitude of future warming, even if we knew future carbon emissions perfectly, is still not known to within even 10%. However, that uncertainty range does not overlap with “very little warming” or “make the planet uninhabitable warming.” In any case, if one’s argument is based on how complex the system is, surely perturbing that complex system is not something they ought to advocate for!",,False Authority
“Here’s an unusual one from Guillet et al suggesting that there’s nothing new about wildly early or late grape harvests through the centuries,"The Guillet et al paper primarily uses wine grapes to look at the impact of the 1257 Samalas eruption (volcanic aerosols cool the climate, delaying grape maturation and harvest). I haven’t read the paper in the detail, but as far as I can tell they do not make any claims about recent warming or harvest trends. Contrary to the claim quoted above, our own work suggest that warming has significantly advanced wine grape harvests over western Europe1. We found, on average, that winegrape harvests have been occurring significantly earlier since 1980 (on average 10 days earlier than the 1600-1900 average). In fact, 2003 was the earliest harvest in the record by about a month. On a broader note, I want to point out that exceptional events in the paleoclimate record do not undermine the case for attributing recent warming to anthropogenic greenhouse gas emissions. We know there have been warm periods in the past, but we have quite a bit of significant independent evidence that recent warming can only be explained by invoking anthropogenic activities. [read the Dr Guillet’s comment below] 1- Cook & Wolkovich (2016) Climate change decouples drought from early wine grape harvests in France. Nature ",article65.txt,False Authority
“Ocean acidification is the terrifying threat whereby all that man-made CO2 we’ve been pumping into the atmosphere may react with the sea to form a sort of giant acid bath.”,That is incorrect. No peer-reviewed article claim that the ocean will become acid (pH < 7).,article45.txt,False Authority
since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics. ,"These are hardly the most reliable measurements. For a description of the tortured history of the satellite measurements, see page 8 of this document. In fact, the surface temperature record is much more reliable and the models agree well with it. It’s as likely that unresolved errors in the satellite record are responsible for the errors as problems in the models.",article130.txt,False Authority
"“While the notion that the impact on earth’s orbital cycle on solar radiation levels is the most significant factor determining global temperatures is anything but new, the team of scientists seem to have tied the phenomenon to planetary orbits in a more concrete manner than previous studies.”","I can’t help but think this sentence really refers to a research article called “A simple rule to determine which insolation cycles lead to interglacials” by Tzedakis and colleagues, rather than “Theory of chaotic orbital variations confirmed by Cretaceous geological evidence” by Ma, Meyers & Sageman.",,False Authority
"“Several of the papers note that the primary influence on warming appears to be solar activity. Few, if any, entertain the notion that carbon dioxide levels have much to do with it.”","Many of these papers discuss the causes of temperature changes over the past several centuries or millennia. Indeed, solar activity is thought to be one of the primary drivers of the observed temperature variability over this these longer time periods. This is not the case over the past several decades. Over this recent time period we know that the Sun’s intensity has not gotten stronger because we are measuring it with satellites and we know that increasing greenhouse gasses are causing warming. We know that increasing greenhouse gasses are causing warming due to fundamental physical laws—not simply from observing that temperatures and greenhouse gas levels happen to be rising at the same time.",article65.txt,False Authority
"“The Lancet researchers found that about 0.5%—half a percent—of all deaths are associated with heat, not only from acute problems like heat stroke, but also increased mortality from cardiac events and dehydration. But more than 7% of deaths are related to cold—counting hypothermia, as well as increased blood pressure and risk of heart attack that results when the body restricts blood flow in response to frigid temperatures.”","I do not want to question the quality of this particular study, but it’s worth looking at how they get such numbers. First, this is a statistical study where they look at data on numbers of deaths and temperatures in various locations: of course, nothing says if, or how, these deaths are really related to temperature (heat or cold). This is an empirical study. Lomborg’s comments suggest that the authors of this study are counting deaths explicitly caused by heat or cold, but this is not the case. Second, they basically fit a temperature-death risk response curve to this data. They then see for what temperature the mortality risk is lowest – and then they aggregate all the deaths below (for cold-related deaths) and above (for heat-related ones) that temperature. Because the temperature of minimum mortality is often high (around 20-25C, or lower 70’s F), for cold-related deaths this leads to integrating the response function (even with low death risks) over much of the temperature distribution. See plots below. The authors indicate as much: “This difference was mainly caused by the high minimum-mortality percentile, with most of the mean daily temperatures being lower than the optimum value.” This methodology also explains why most cold-related deaths appear due to “moderate cold”. This is worth explaining, because I am not sure dying in 15C weather (60F) in Rome or Sydney is really what people will understand when they read about “cold-related deaths”! From Gasparrini et al. figure 1: Exposure–response associations as best linear unbiased prediction (with 95% empirical CI, shaded grey) in representative cities of the 13 countries, with related temperature distributions. Solid grey lines are minimum mortality temperatures and dashed grey lines are the 2.5th and 97.5th percentiles. RR=relative risk. The other thing that is easy to see is that the risk curve generally increases slowly towards cold temperature, but a lot more steeply past high temperatures. So even if one agrees with how this study classifies and counts “cold deaths”, the fact that they outnumber heat deaths, in absolute numbers, does not necessarily mean that increasing temperatures will reduce deaths: based on these plots, it could well be that warming will reduce cold-related deaths less than it increases heat-related ones. And indeed, this is what the studies about future projection of temperature-related deaths that they cite, and that Lomborg discusses, do find. ",article25.txt,False Authority
"“Some experts, such as UN climate scientist Dr. Indur Goklany, have defended rising CO2 levels as a good thing for humanity. Goklany has argued that the rising level of carbon dioxide in the earth’s atmosphere ‘is currently net beneficial for both humanity and the biosphere generally.”","Technically, there is no such thing, really, as a UN climate scientist. There are climate scientists, worldwide, working for universities or national research organizations, and who contribute to the UN’s IPCC review process when it produces its report, every 7 years or so. Dr. Goklany is listed (Wikipedia) as working for the US Department of Interior as a science and technology policy analyst. His PhD is in electrical engineering, and beyond opinion pieces, he doesn’t seem to have published in the field of climate sciences. So I am not sure why his opinion is relevant at all—it goes without saying that it goes against the assessment of most of the scientific community working on climate change issues.",,False Authority
“The peer-reviewed study by two scientists and a veteran statistician looked at the global average temperature datasets[…]”,"In addition to not being peer reviewed, the study also doesn’t appear to cite ANY peer-reviewed literature to support its conclusions, nor does the report provide any additional references. Furthermore, the report appears to have a clear dismissive tone towards peer-reviewed research and uses dubious language such as “Climate Alarmist”, further straining the credibility of the report this article is based solely on.",,False Authority
"“But observations, such as those on our CO2 Coalition website, show that increased CO2 levels over the next century will cause modest and beneficial warming—perhaps as much as one degree Celsius (1.8 degrees Fahrenheit)”","That [1 °C warming] is an absolute best-case scenario, if significant mitigation action is taken urgently. Increased CO2 leads to warming, which leads to increased atmospheric water vapor, less ice, and other feedbacks. A doubling of CO2 concentrations would lead to about 3 °C warming. Timothy Osborn, Professor, University of East Anglia, and Director of Research, Climatic Research Unit: Projections of future warming can’t be made from observations alone: we need understanding of the mechanisms and physical processes. Neither of these are provided by the quoted website, which instead contains inaccurate articles about supposed adjustments to temperature data and claiming a new ‘little ice age’ is already here—both of which have been shown to be incorrect by scientific research. (For example, section 1.3.2 of the Fourth Assessment Working Group I IPCC report compared global temperature records from various vintages and found broad consistency.)",article40.txt,False Authority
Their analysis calculates the existential climate-related security risk to Earth through a scenario set 30 years into the future.,"No, the report’s authors have merely read (or possibly seen without actually reading) a few of the scariest papers they could find, misunderstood (or not read properly) at least one of them, and presented unjustified statements.",article127.txt,False Authority
"“new research in Nature Climate Change not only reinforces the reality of this trend — which is already provoking debate about the overall climate consequences of a warming Arctic — but statistically attributes it to human causes, which largely means greenhouse gas emissions (albeit with a mix of other elements as well).”","That’s a good summary of what’s new in this study: Arctic greening had been documented before, its causes had been discussed, but this is the first study to formally attribute this greening trend to human gas emissions. Note that trends in surface temperature and in some aspects of the hydrological cycle (e.g., precipitation, evaporation) have been detected and attributed similarly; this is the first study to do so with vegetation trends (which appear closely related to temperature trends, though).",,False Authority
"But the thermometer records showed that the warming stopped from 2000 to 2014. Until they didn’t. In two of the four global surface series, data were adjusted in two ways that wiped out the “pause” that had been observed[…]","This section completely misrepresents the efforts to produce a global-average temperature data set. There are 4 scientific groups producing 4 independent records. They all agree and most of them post their code, so you can see exactly how they do the calculation—there’s certainly nothing nefarious going on. There are adjustments to correct for known issues in the data, but they don’t have much of an effect on the global average temperature record. The warming of the surface record is supported by many independent data: loss of ice all over the globe, warming of the ocean, sea level rise, and, yes, there’s reasonable agreement between the satellite and surface temperature records (see Table 2.3 of the 2018 State of the Climate report1). 1- State of the Climate in 2018, Bulletin of the American Meteorological Society",,False Authority
"Yet, some scientists argue that the gas is not capable of producing the extreme temperature rises seen in recent decades.","In the same way some “scientists” claim quantum mechanics is wrong. Single scientists are not a source of reliable scientific information, especially after searching them out for holding views that reject the scientific understanding of the world. Normally the reporting in the science section of a reputable newspaper would be based on the overwhelming evidence presented in high quality peer reviewed scientific journals.",,False Authority
"“According to a recent National Economic Research Associates Economic Consulting study, the Paris Agreement could obliterate $3 trillion of GDP, 6.5 million industrial sector jobs and $7,000 in per capita household income from the American economy by 2040. Meeting the 2025 emissions reduction target alone could subtract $250 billion from our GDP and eliminate 2.7 million jobs. The cement, iron and steel, and petroleum refining industries could see their production cut by 21% 19%, and 11% respectively.”","The National Economic Research Associates study assumes that the United States meets the 2025 target for reducing annual emissions of greenhouse gases, which is set out in its “nationally determined contribution”, and goes on to reduce its annual emissions by 80% by 2050 compared with 1990. The authors of the study admit on pages 10-11 to making the astonishing assumption that every other country in the world ignores the targets in their nationally determined contributions and make no further efforts to reduce emissions, so that much of the calculated costs to the United States economy subsequently arise from high-carbon companies relocate or lose business to competitors in other countries. The model assumes no increase in low-carbon electricity generation over the next four decades compared with the baseline scenario, so no increase in economic growth or jobs in the low-carbon sector and no substitution of low-carbon energy for high-carbon energy—emissions reductions are achieved by imposing very high carbon prices that reduce the consumption of coal and energy. The study makes the unrealistic assumption that there will be no economic benefits to the United States from avoided impacts of climate change or co-benefits from reducing local air pollution from fossil fuels which currently contributes to the premature deaths of 200,000 Americans each year, according to a study by the Massachusetts Institute of Technology*. Overall, this is an inaccurate and misleading assessment of the cost to the United States of participating in the Paris Agreement and honouring the commitments in its nationally determined contribution—indeed, the extreme assumptions mean this a study of the costs of policy-makers attempting to achieve emissions reduction targets in some of the least cost-effective ways available. Caiazzo et al (2013) Air pollution and early deaths in the United States. Part I: Quantifying the impact of major sectors in 2005, Atmospheric Environment ",article63.txt,False Authority
“The peer-reviewed study by two scientists and a veteran statistician looked at the global average temperature datasets[…]”,"If this author knew anything about the process of scientific research and publication, he would realize just how ridiculous this statement is. Note that the study reported in this article has not been published in any reputable peer-reviewed journal, undoubtedly because it would never pass muster.",,False Authority
"“As it happens, Zika may also be a good model of the second worrying effect — disease mutation. One reason you hadn’t heard about Zika until recently is that it had been trapped in Uganda; another is that it did not, until recently, appear to cause birth defects.”","It would be helpful to know the source of the statements about Zika. Zika was first recognized in Uganda, but has not been trapped there. Zika has been moving around the world for the past few years, presumably associated with trade and travel. With limited surveillance of Zika and with limited numbers of cases, it isn’t possible to say whether the disease caused birth defects before the large outbreak last year; research is underway to determine that.",,False Authority
“Russian scientists who have investigated waters off their coast have detected more and more plumes of methane bubbling up from the seabed.”,"However, there is evidence from a dedicated field campaign that the methane in ocean plumes does not affect the atmosphere: Extensive release of methane from Arctic seabed west of Svalbard during summer 2014 does not influence the atmosphere ",article33.txt,False Cause
“cold kills many more people than heat.”,"Mr. Lomborg is confusing seasonal mortality with temperature-related mortality. It is true that mortality is higher during winter than summer. However, it does not follow that winter mortality is temperature-dependent (which summer mortality is). Dave Mills and I reviewed the evidence and concluded that only a small proportion of winter mortality is likely associated with temperature. A growing numbers of publications are exploring associations between weather and winter mortality, with differences in methods and results. The country with the strongest association between winter mortality and temperature is England, which appears in other publications to be at least partly due to cold housing. Winter mortality is lower in northern European countries.",article25.txt,False Cause
"[…] the Roman Warming, the Dark Ages, the Medieval Warming and the Little Ice Age. These took place before industrialisation and were all driven by changes in the sun.","These climate fluctuations were small, regional and at a much smaller scale than what the planet experiences today. None of them were globally as warm as today. They were also driven by other forcings than greenhouse gases. The author is confused between small-scale natural variability and long-term irreversible large-scale change.",,False Cause
"“First, marine species that calcify have survived through millions of years when CO2 was at much higher levels; second, they are more than capable of adapting — even in the short term — to environmental change”","Many marine organisms respond to changes in calcium carbonate mineral saturation states. These depend not only on pH, but also on factors including amounts of carbon and calcium in the ocean. One of the most important factors is ocean alkalinity, which varies on time scale of many thousands of years. In the geologic past, when atmospheric CO2 was high, ocean alkalinity was also high, and so carbonate mineral saturation states could remain high. Unfortunately, on the timescale of centuries or decades, changes come too fast for the ocean’s natural processes to buffer ocean carbonate mineral saturation states. Directly comparing effects of high CO2 levels that developed in the geologic past over many millions of years with high CO2 levels developing today over decades and centuries shows a fundamental lack of understanding of well-established global geochemical cycles. This open access article explains some of the relevant chemistry: Cao et al (2016) Simulated effect of deep-sea sedimentation and terrestrial weathering on projections of ocean acidification, Journal of Geophysical Research Oceans ",article45.txt,False Cause
"“The UN has already said that 2016 is highly likely to break the annual record again, after 14 straight months of extreme heat aided by a hefty El Niño climatic event, a weather event that typically raises temperatures around the world.“","The influence of El Niño was likely not as large as it was in 1998. A large part of the warming was also in the Arctic, as Jan Lenaerts also argues below.",article31.txt,False Cause
"“In contrast, humans are now emitting about 10 billion tons annually — changing the planet much more rapidly.”","This is the current rate, but it’s worth pointing out that this rate is the result of exponential growth over the last decades, and that it was “only” 1-2 billion tons in the 50’s, for instance. In drawing the analogy with the PETM, one may also wonder how long the current rates can be sustained – if anything, compared to the 4,000 years of the PETM – given that such emissions are most likely unsustainable over the long-term, either because of fossil fuel availability constraints, or because of the adverse feedback of climate change on human societies. ",article24.txt,False Cause
“Federal scientists have documented a sharp jump in this nuisance flooding — often called ‘sunny-day flooding’ — along both the East Coast and the Gulf Coast in recent years.”,"This is a tricky one. Nuisance flooding on the Atlantic and Gulf coasts is the result of relative sea-level rise. Relative sea-level rise has a variety of components that give the rise a spatial signature. For example along the mid US Atlantic coast one-third of the rise is due to glacial isostatic adjustment with the remainder dominated by climatically driven sea-level rise. But in the Mississippi Delta the dominant driving force is subsidence. However, in the coming century these components will decrease in importance relative to climatically driven sea-level rise. ",,False Cause
"“An additional kick was supplied by an El Niño weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet, causing the hottest year in a historical record dating to 1880.”","This is a very common misconception even among scientists. The warming, bleaching, and coral loss is 100% due to greenhouse gas emissions, not the ENSO cycle and the fact that we were in a peak of the El Niño phase in early 2016. The Great Barrier Reef has experienced El Niño events for thousands of years, yet bleaching wasn’t observed there until 1998 when ocean warming pushed ocean temperatures just above the bleaching threshold.",article53.txt,False Cause
Brooks added that Antarctic ice is growing.,"While the extent of Antarctic sea ice is slightly growing, this growth does not affect sea level, because of Archimedes’ law. The land ice of the Antarctic Ice Sheet is shrinking at an accelerating pace, which does result in sea-level rise. The IMBIE team (2018) Mass Balance of the Antarctic Ice Sheet from 1992 to 2017, Nature Bamber (2018) The Land Ice Contribution to Sea Level during the Satellite Era, Environmental Research Letters",article121.txt,False Cause
"“‘That isn’t going to sound horribly unmanageable. But remember for the northern hemisphere, for North America, the fact that the location in West Antarctica is where the action is amplifies that rate of sea level rise by up to an about additional 25 percent in a city like Boston or New York.’ That’s because as Antarctica’s mass shrinks, the ice sheet’s gravitational pull on the ocean relaxes somewhat, and the seas travel back across the globe to pile up far away — with U.S. coasts being one prime destination.”","This effect is called the gravitational effect, and it is the consequence of one of the basic laws of physics: mass attracts mass. When mass is lost on Antarctica, sea level will fall within a 2,200 km radius due to the loss of gravitational pull. Between 2,200 and 7,600 km, sea level will rise but less than the global average. Beyond 7,600 km, sea level rise will be larger than the global mean, up to 25% extra. For Antarctica, this means that the largest consequences will be in the Northern Hemisphere, with the reverse being true for mass loss in Greenland. The gravitational effect has been known since 18861, was rediscovered in 19762 and again in 20013. It is used in sea-level projections, for instance in the IPCC AR5 report, chapter 13. 1-Woodward (1886) On the form and position of the sea-level as dependent on superficial masses symmetrically disposed with respect to a radius of the Earth’s surface, Annals of Mathematics 2-Farrell and Clark (1976) On Postglacial Sea Level, Geophysical Journal International 3-Mitrovica et al (2001) Recent mass balance of polar ice sheets inferred from patterns of global sea-level change, Nature ",,False Cause
"“His Gaia hypothesis, which contends that the earth is a single, self-regulating organism, is now accepted as the founding principle of most climate science […]”","This is going a bit far. The Gaia gave many scientists food for thought, and a new way of thinking about the climate system in a holistic way, but it is hardly the “founding principle” of most climate science. That remains the physics of fluid flow and heat transport, plus chemistry and biology, etc.",,False Cause
The strongest heat wave ever recorded [in the US] occurred in July 1936,"People may know this period as the Dust Bowl, where bad land management practices produced bare soil, dust storms, crop failure, and heat waves. This affected especially the maximum temperature, the summer temperature and stations in the Dust Bowl region. Global warming is about global warming. There are other reasons why the temperature changes, but over the last century the main reason is the burning of fossil fuels. Locally, these other reasons can be significant—like the US Dust Bowl.",,False Cause
“record temperatures brought in 2016 by an exceptionally strong El Niño”,"Last year the annual global temperature was about 1.1 °C above a late-19th century baseline but only about 0.1°C of this was due to the El Niño—the other 1 °C is due to human influences. So while the record occurred in 2016 due to El Niño, most of the anomaly was due to climate change",article60.txt,False Cause
frost fairs were held on the Thames when the river froze,The cessation of these frost fairs was linked to changes in river management and not to climate change. ,,False Cause
"“In 2013 the level of U.S. farm output was about 2.7 times its 1948 level, and productivity was growing at an average annual rate of 1.52%. From 2001 to 2013, world-wide, global output of total crop and livestock commodities was expanding at an average rate of 2.52% a year[…] Along with better plant varieties, cropping practices and fertilizer, CO2 has contributed to this welcome increase in productivity.”","In general, CO2 has had a positive effect on crop growth, but it’s impossible to separate historical effects from the greater effects of genetics and nitrogen and other inputs. However, it’s generally considered to be a fraction of those. We know better future effects because we have CO2 fertilization experiments in the field comparing present to future CO2 levels. Those experiments suggest that corn may have about a 1% gain [because of increased CO2] and soybeans 3-4 times that. However, these gains will almost certainly be offset by yield declines associated with the temperature increases caused by elevated CO2, which are well known. Historically, it’s worth noting that we had elevated CO2 long before we had the green revolution, and crop yields didn’t increase much until the green revolution. You can see this in graphs of average US corn yields from 1900. Source: University of Nebraska-Lincoln",,False Cause
"“‘Greenhouse gases emitted through human activities and the resulting increase in global mean temperatures are the most likely underlying cause of the sea ice decline,’ the snow and ice data center said.”","Observed trends in Arctic sea ice result from the superposition of forced, man-made variations and internally generated variations. While it is clear from the literature (see IPCC WG1 AR5 Chapter 10 for a review) that observed trends cannot be explained by internal variability alone, it should be remembered that internal variability can also modulate the forced trends, in a way that is complex to properly describe. In conclusion, greenhouse gases are well responsible for the observed decline, but their effect on sea ice trends may have even been amplified by internal variability. ",,False Cause
